City,MuslimNumbers
SHASTA,1
SHASTA LAKE,24
SHAVER LAKE,2
SHEEP RANCH,1
SHERIDAN,16
SHERMAN OAKS,1963
SHINGLE SPRINGS,65
SHINGLETOWN,12
SIERRA CITY,2
SIERRA MADRE,166
SIGNAL HILL,142
SILVERADO,41
SIMI VALLEY,2083
SKYFOREST,6
SLOUGHHOUSE,6
SMARTSVILLE,7
SMITH RIVER,3
SODA SPRINGS,3
SOLANA BEACH,141
SOLEDAD,77
SOLVANG,39
SOMERSET,17
SOMIS,29
SONOMA,160
SONORA,79
SOQUEL,80
SOULSBYVILLE,6
SOUTH EL MONTE,33
SOUTH GATE,137
SOUTH LAKE TAHOE,161
SOUTH PASADENA,308
SOUTH SAN FRANCISCO,984
SOUTH SAN GABRIEL,32
SPRECKELS,4
SPRING VALLEY,1085
SPRINGVILLE,20
STANFORD,198
STANTON,277
STEVENSON RANCH,539
STEVENSON RNH,8
STEVINSON,3
STINSON BEACH,2
STIRLING CITY,2
STOCKTON,3047
STONYFORD,2
STRATFORD,2
STRATHMORE,11
STRAWBERRY VALLEY,1
STUDIO CITY,703
SUGARLOAF,12
SUISUN CITY,213
SUMMERLAND,2
SUN VALLEY,273
SUN VALLLEY,1
SUNLAND,332
SUNNYVALE,2205
SUNOL,18
SUNSET BEACH,7
SURFSIDE,2
SUSANVILLE,40
SUTTER,6
SUTTER CREEK,8
SYLMAR,543
TAFT,28
TAHOE CITY,12
TAHOE VISTA,4
TAHOMA,8
TARZANA,1693
TEHACHAPI,128
TEHAMA,6
TEMECULA,1697
TEMPLE CITY,246
TEMPLETON,60
TERMO,1
TERRA BELLA,9
THE SEA RANCH,6
THERMAL,8
THORNTON,3
THOUSAND OAKS,1074
THOUSAND PALMS,34
THREE RIVERS,11
TIBURON,259
TIPTON,7
TOLLHOUSE,8
TOLUCA LAKE,3
TOMALES,2
TOPANGA,81
TOPAZ,1
TORRANCE,3063
TRABUCO,1005
TRACY,2241
TRANQUILLITY,5
TRAVER,6
TRAVIS,9
TRINIDAD,13
TRINITY CENTER,1
TRONA,4
TRUCKEE,109
TUJUNGA,404
TULARE,184
TURLOCK,1135
TUSTIN,1590
TWAIN HARTE,20
TWENTYNINE PALMS,72
TWIN PEAKS,10
UKIAH,103
UNION CITY,1626
UNIVERSAL CITY,1
UPLAND,1526
UPPER LAKE,3
VACAVILLE,688
VALENCIA,1160
VALLECITO,5
VALLEJO,812
VALLEY CENTER,200
VALLEY FORD,1
VALLEY GLEN,1
VALLEY SPRINGS,47
VALLEY VILLAGE,508
VALLEY VLG,4
VAN NUYS,1530
VANDENBERG AFB,4
VENICE,511
VENTURA,780
VERDI,1
VERNALIS,7
VICTORVILLE,934
VILLA PARK,173
VINA,1
VISALIA,795
VISTA,874
VOLCANO,1
W HOLLYWOOD,1
W LOS ANGELES,1
W TOLUCA LAKE,1
WALNUT,573
WALNUT CREEK,2361
WALNUT GROVE,6
WARNER SPRINGS,5
WASCO,50
WATERFORD,24
WATSONVILLE,285
WEAVERVILLE,12
WEED,17
WELDON,9
WEOTT,1
WEST COVINA,815
WEST HILLS,178
WEST HOLLYWOOD,835
WEST POINT,2
WEST SACRAMENTO,732
WESTCHESTER,3
WESTLAKE VILLAGE,664
WESTLEY,1
WESTMINSTER,950
WESTMORLAND,3
WESTPORT,2
WESTWOOD,7
WHEATLAND,9
WHITETHORN,10
WHITEWATER,9
WHITMORE,1
WHITTIER,855
WILDOMAR,340
WILLIAMS,8
WILLITS,48
WILLOW CREEK,4
WILLOWS,14
WILMINGTON,93
WILSEYVILLE,1
WILTON,48
WINCHESTER,482
WINDSOR,126
WINNETKA,1000
WINTERHAVEN,1
WINTERS,30
WINTON,13
WOFFORD HEIGHTS,7
WOODACRE,9
WOODBRIDGE,36
WOODFORDS,5
WOODLAKE,26
WOODLAND,907
WOODLAND HILLS,3673
WOODLAND HLD,1
WOODLAND HLS,38
WOODSIDE,123
WRIGHTWOOD,19
YERMO,3
YOKUTS VALLEY,22
YOLO,3
YORBA LINDA,1811
YOSEMITE NATIONAL PARK,1
YOUNTVILLE,6
YREKA,24
YUBA CITY,617
YUCAIPA,359
YUCCA VALLEY,139
ZAMORA,3
