School District,Matched DistrictName,Match Score,
mcfarland unified school district,McFarland Unified,100,
chawanakee unified school district,Chawanakee Unified,100,
calipatria unified school district,Calipatria Unified,100,
klamath-trinity joint unified school district,Klamath-Trinity Joint Unified,100,
sierra-plumas joint unified school district,Sierra-Plumas Joint Unified,100,
le grand union high school district,Le Grand Union High,100,
williams unified school district,Williams Unified,100,
anderson valley unified school district,Anderson Valley Unified,100,
laytonville unified school district,Laytonville Unified,100,
durham unified school district,Durham Unified,100,
ferndale unified school district,Ferndale Unified,100,
alpine county unified school district,Alpine County Unified,100,
,,0,*
muroc joint unified school district,Muroc Joint Unified,100,
mountain valley unified school district,Mountain Valley Unified,100,
warner unified school district,Warner Unified,100,
lone pine unified school district,Lone Pine Unified,100,
alpaugh unified school district,Alpaugh Unified,100,
mclean county school district,Washington Unified,68,*
surprise valley joint unified school district,Surprise Valley Joint Unified,100,
big valley joint unified school district,Big Valley Joint Unified,100,
hamilton unified school district,Hamilton Unified,100,
geyserville unified school district,Geyserville Unified,100,
leggett valley unified school district,Leggett Valley Unified,100,
trona joint unified school district,Trona Joint Unified,100,
chippewa hills school district,Saddleback Valley Unified,68,*
gonzales unified school district,Gonzales Unified,100,
maine consolidated school district,Fullerton Joint Union High,66,*
big pine unified school district,Big Pine Unified,100,
potter valley community unified school district,Potter Valley Community Unified,100,
riverdale local school district,Saddleback Valley Unified,90,*
owens valley unified school district,Owens Valley Unified,100,
death valley unified school district,Death Valley Unified,100,
holtville unified school district,Holtville Unified,100,
maricopa unified school district,Maricopa Unified,100,
hot springs elementary school district,Hot Springs Elementary,100,
mattole unified school district,Mattole Unified,100,
big sur unified school district,Big Sur Unified,100,
southern trinity joint unified school district,Southern Trinity Joint Unified,100,
farwell area schools,Rim of the World Unified,71,*
stony creek joint unified school district,Stony Creek Joint Unified,100,
westwood unified school district,Westwood Unified,100,
san pasqual valley unified school district,San Pasqual Valley Unified,100,
campbell county public schools,Saddleback Valley Unified,90,*
fort sage unified school district,Fort Sage Unified,100,
bureau valley community unit school district,Acalanes Union High,72,*
pittsburg school district,Pittsburg Unified,100,
ballard county school district,Ballard Elementary,100,
bastrop independent school district,Placer Union High,64,*
mesa unified district,Newport-Mesa Unified,60,*
borrego springs unified school district,Borrego Springs Unified,100,
southern regional school district,Long Beach Unified,71,*
hawaii department of education,Los Angeles Unified,72,*
maxwell unified school district,Maxwell Unified,100,
westmont hilltop school district,Los Angeles Unified,64,*
montgomery township school district,Montgomery Elementary,90,*
clark county school district,Pasadena Unified,72,*
princeton joint unified school district,Princeton Joint Unified,100,
sunnyvale elementary school district,Sunnyvale,100,
north tippah school district,Acalanes Union High,57,*
shandon joint unified school district,Shandon Joint Unified,100,
berkeley county school district,Berkeley Unified,100,
rockwood r-vi school district,Pacific Grove Unified,64,*
san francisco unified,San Francisco Unified,100,
carlyle community unit school district,San Lorenzo Valley Unified,63,*
