school_district,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
piedmont city unified school district,174,136,78.16
pierce joint unified school district,28,12,42.86
pittsburg school district,1,1,100.0
pittsburg unified school district,428,189,44.16
placentia-yorba linda unified school district,3106,1931,62.17
placer union high school district,608,435,71.55
pleasanton unified school district,1529,922,60.3
plumas unified school district,49,28,57.14
point arena joint union high school district,23,17,73.91
pomona unified school district,1308,670,51.22
porterville unified school district,350,150,42.86
potter valley community unified school district,3,2,66.67
poway unified school district,5150,3261,63.32
princeton joint unified school district,1,0,0.0
ramona city unified school district,208,145,69.71
red bluff joint union high school district,107,62,57.94
redlands unified school district,2133,1127,52.84
redondo beach unified school district,1338,853,63.75
reef-sunset unified school district,41,18,43.9
rialto unified school district,517,240,46.42
rim of the world unified school district,150,92,61.33
ripon unified school district,137,95,69.34
river delta joint unified school district,74,59,79.73
riverbank unified school district,50,16,32.0
riverdale joint unified school district,53,18,33.96
riverdale local school district,3,3,100.0
riverside unified school district,2996,1491,49.77
rocklin unified school district,962,621,64.55
rockwood r-vi school district,1,0,0.0
roseville joint union high school district,3351,1959,58.46
rowland unified school district,775,444,57.29
sacramento city unified school district,3160,1839,58.2
saddleback valley unified school district,6561,4136,63.04
salinas union high school district,575,339,58.96
san benito high school district,200,106,53.0
san bernardino city unified school district,1234,467,37.84
san diego city unified school district,14596,7832,53.66
san dieguito union high school district,3605,2502,69.4
san francisco unified,1,0,0.0
san francisco unified school district,11895,7531,63.31
san gabriel unified school district,256,158,61.72
san jacinto unified school district,245,97,39.59
san jose unified school district,5031,3140,62.41
san juan unified school district,4688,2667,56.89
san leandro unified school district,856,360,42.06
san lorenzo unified school district,705,272,38.58
san lorenzo valley unified school district,156,101,64.74
san luis coastal unified school district,542,346,63.84
san marcos unified school district,1841,1190,64.64
san marino unified school district,178,125,70.22
san mateo union high school district,5142,3114,60.56
san pasqual valley unified school district,2,1,50.0
san rafael city high school district,786,529,67.3
san ramon valley unified school district,4640,2984,64.31
sanger unified school district,214,113,52.8
santa ana unified school district,1743,850,48.77
santa barbara unified school district,1737,1168,67.24
santa clara unified school district,3372,2072,61.45
santa cruz city high school district,1049,656,62.54
santa maria joint union high school district,355,192,54.08
santa monica-malibu unified school district,2840,1684,59.3
santa paula unified school district,54,33,61.11
santa rosa high school district,1113,723,64.96
santa ynez valley union high school district,93,61,65.59
scott valley unified school district,20,17,85.0
scotts valley unified school district,215,143,66.51
selma unified school district,150,38,25.33
sequoia union high school district,4228,2851,67.43
shandon joint unified school district,1,0,0.0
shasta union high school district,379,206,54.35
shoreline unified school district,24,15,62.5
sierra sands unified school district,153,80,52.29
sierra unified school district,25,9,36.0
sierra-plumas joint unified school district,10,5,50.0
silver valley unified school district,54,13,24.07
simi valley unified school district,2084,1307,62.72
siskiyou union high school district,46,30,65.22
snowline joint unified school district,140,71,50.71
soledad unified school district,77,37,48.05
sonoma valley unified school district,171,144,84.21
sonora union high school district,91,70,76.92
south monterey county joint union high school district,77,26,33.77
south pasadena unified school district,308,220,71.43
south san francisco unified school district,1218,568,46.63
southern humboldt joint unified school district,31,10,32.26
southern kern unified school district,73,38,52.05
southern regional school district,1,0,0.0
southern trinity joint unified school district,2,2,100.0
st. helena unified school district,45,35,77.78
stockton unified school district,1319,580,43.97
stony creek joint unified school district,2,2,100.0
summerville union high school district,27,17,62.96
sunnyvale elementary school district,1,1,100.0
sunol glen unified school district,18,15,83.33
surprise valley joint unified school district,4,1,25.0
sutter union high school district,50,35,70.0
sweetwater union high school district,2651,1403,52.92
taft union high school district,28,10,35.71
tahoe-truckee unified school district,166,107,64.46
tamalpais union high school district,1525,1130,74.1
tehachapi unified school district,129,77,59.69
temecula valley unified school district,2129,1179,55.38
temple city unified school district,287,174,60.63
templeton unified school district,70,45,64.29
torrance unified school district,2917,1735,59.48
tracy unified school district,2235,964,43.13
travis unified school district,256,142,55.47
trinity alps unified school district,35,13,37.14
trona joint unified school district,4,1,25.0
tulare joint union high school district,201,76,37.81
turlock unified school district,1089,583,53.54
tustin unified school district,3166,1939,61.24
twin rivers unified school district,1717,905,52.71
ukiah unified school district,120,71,59.17
upland unified school district,1508,806,53.45
upper lake unified school district,26,12,46.15
vacaville unified school district,508,302,59.45
val verde unified school district,490,229,46.73
vallejo city unified school district,819,445,54.33
valley center-pauma unified school district,249,153,61.45
ventura unified school district,791,488,61.69
victor valley union high school district,982,440,44.81
visalia unified school district,794,419,52.77
vista unified school district,1162,781,67.21
walnut valley unified school district,907,554,61.08
warner unified school district,6,4,66.67
wasco union high school district,38,12,31.58
washington unified school district,791,362,45.76
waterford unified school district,24,11,45.83
west contra costa unified school district,3367,1756,52.15
west covina unified school district,378,188,49.74
west sonoma county union high school district,239,188,78.66
western placer unified school district,594,377,63.47
westmont hilltop school district,1,0,0.0
westwood unified school district,2,0,0.0
wheatland union high school district,104,55,52.88
whittier union high school district,1007,629,62.46
william s. hart union high school district,4783,3041,63.58
williams unified school district,8,5,62.5
willits unified school district,47,29,61.7
willows unified school district,15,10,66.67
windsor unified school district,125,86,68.8
winters joint unified school district,30,13,43.33
wiseburn unified school district,179,109,60.89
woodlake unified school district,37,15,40.54
woodland joint unified school district,904,517,57.19
yosemite unified school district,143,89,62.24
yreka union high school district,47,31,65.96
yuba city unified school district,593,302,50.93
yucaipa-calimesa joint unified school district,392,225,57.4
